Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
07/09/2022 17:33;gregariously.eth;11684;adriannalakatos;1,22364E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi! In 6 of them!;;;0;1,56754E+18
07/09/2022 17:16;mensa the literate ???;1,48661E+18;livpasquarelli;1,35455E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@livpasquarelli @crypto_coven happy hot occultist season ?;;;0;1,56753E+18
07/09/2022 17:09;Veronica Mihai;3019601793;adriannalakatos;1,22364E+18;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi ?;;;0;1,56753E+18
07/09/2022 17:03;Matt | mcfp?S.O.N. ?;7,45717E+17;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hii;;;0;1,56753E+18
07/09/2022 16:29;Mamas of Crypto;1,5476E+18;adriannalakatos;1,22364E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Thanks, love yours too! That manicure ? ?;;;0;1,56752E+18
07/09/2022 16:22;S.J.;1,4709E+18;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar ??;;;0;1,56752E+18
07/09/2022 16:16;adrianna;1,22364E+18;troubleplays;460040880;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@troubleplays @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hey hey! Loveeee your @MyBFF pfp ???;;;0;1,56752E+18
07/09/2022 16:15;adrianna;1,22364E+18;MickelleWeber;4446974360;tl;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@MickelleWeber @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! Yes plz! ????;;;0;1,56752E+18
07/09/2022 16:15;adrianna;1,22364E+18;lagunacarta;107570392;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@lagunacarta @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi! Loooove your @crypto_coven pfp ??;;;0;1,56752E+18
07/09/2022 16:15;adrianna;1,22364E+18;aMadLadt;7,94791E+17;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@aMadLadt @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi! ???;;;0;1,56752E+18
07/09/2022 16:14;adrianna;1,22364E+18;sad_girls_bar;1,42113E+18;ca;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@sad_girls_bar @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club ?? hi hi;;;0;1,56752E+18
07/09/2022 16:13;adrianna;1,22364E+18;Ledgabell;1,44014E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@Ledgabell @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi hi hi! Great to connect! ??;;;0;1,56752E+18
07/09/2022 16:13;adrianna;1,22364E+18;mamas_of_crypto;1,5476E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@mamas_of_crypto @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Love her btw, shades are super cool ?;;;0;1,56752E+18
07/09/2022 15:42;Michelle Morton ???;62172205;adriannalakatos;1,22364E+18;tl;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hiya :) :) :);;;0;1,56751E+18
07/09/2022 15:20;pieter?;1,44896E+18;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar ???;;;0;1,5675E+18
07/09/2022 14:59;J?RILYN;1,48355E+18;katxcn;1,45336E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@katxcn @crypto_coven Balsar and I are ready - whose home needs a salt perimeter? #occulist #enchantress https://t.co/LqtcJ7bZ5W;;;0;1,5675E+18
07/09/2022 14:42;MamaBearCPA;32527405;adriannalakatos;1,22364E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar ?????
3 of those in common!";;;0;1,56749E+18
07/09/2022 14:13;ttactics;240555701;adriannalakatos;1,22364E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi pop gang ?;;;0;1,56749E+18
07/09/2022 13:46;Matthew (he/him);1,49639E+18;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar https://t.co/iB1hg3NQQt;;;0;1,56748E+18
